series_id,model_class,model,scaling,train_length,test_length,mae,rmse,smape,mase
M14447,baseline,AutoETS,quantile,144,18,1057.5798010619667,1195.2878172511862,14.834574982779966,1.8530726327649072
M14629,baseline,AutoETS,quantile,52,18,900.0167156857908,980.6666249131849,34.40371010486981,0.39462309867963663
M14936,baseline,AutoETS,quantile,157,18,122.68009529250854,168.75058473294243,7.331293581148928,1.1181716199468552
M15248,baseline,AutoETS,quantile,157,18,282.11209149316477,335.7988581121084,15.6419450694627,0.4159894018124988
M15257,baseline,AutoETS,quantile,157,18,140.05504593980464,166.55979002892104,7.160218941104392,0.9156414393666692
M16044,baseline,AutoETS,quantile,299,18,261.47273357587096,307.36622431214545,11.177812423639066,0.9740615326420343
M16050,baseline,AutoETS,quantile,299,18,1014.5829556818276,1021.7827207099921,12.718215726883454,1.732152976578376
M1640,baseline,AutoETS,quantile,288,18,23.058036871142804,30.70945960625774,1.698550399056718,0.8658528131204645
M17336,baseline,AutoETS,quantile,51,18,311.088087295411,370.0190045689088,18.956044078828686,0.2811036933392268
M1740,baseline,AutoETS,quantile,288,18,66.41982461454917,78.36958019769789,1.1163189041978878,0.5246071312275519
M17497,baseline,AutoETS,quantile,51,18,155.79888001171952,175.87848550680036,25.001554273594362,0.22868484457873772
M17692,baseline,AutoETS,quantile,51,18,1305.5555555555557,1586.9257491556855,23.719764604125423,0.40864098448368114
M18025,baseline,AutoETS,quantile,51,18,3174.0317213846492,3361.44576416906,50.39570083234681,1.1547316896828481
M18211,baseline,AutoETS,quantile,51,18,1055.5166159570588,1306.3369067226786,15.366689193348885,0.6462346628308523
M18218,baseline,AutoETS,quantile,51,18,796.4025128298643,926.9816828530436,17.96020221525992,0.4290013535961977
M18232,baseline,AutoETS,quantile,51,18,694.4444444444445,842.9445744267861,10.06882741673712,0.38635282929148834
M18966,baseline,AutoETS,quantile,51,18,351.42565255264026,428.51940180341217,33.47493206653208,1.0438385719385355
M19214,baseline,AutoETS,quantile,51,18,2979.143298919128,3183.741824657366,62.07881149317108,1.2204473598513235
M1953,baseline,AutoETS,quantile,288,18,59.989720519286344,78.08275806345095,2.1890342037918975,0.5865094886051375
M2083,baseline,AutoETS,quantile,288,18,15.347845366884208,17.56237087144011,0.5170279394079879,0.26083776608744097
M22060,baseline,AutoETS,quantile,288,18,27.93184660462935,32.081794194085354,0.8084962352971424,0.3623846411205349
M22299,baseline,AutoETS,quantile,288,18,141.77142099531304,149.72079468264965,3.020219408674994,0.9131601445672437
M22542,baseline,AutoETS,quantile,288,18,39.8580804253569,49.36160942070897,1.4085919411658254,0.507048838825879
M23284,baseline,AutoETS,quantile,288,18,21.250142330607748,23.79592051217403,1.774279047092854,0.5528362035298084
M23527,baseline,AutoETS,quantile,288,18,11.782111509810749,14.99427778326416,0.5345417702272693,0.3801791987733405
M23701,baseline,AutoETS,quantile,166,18,87.01297758959714,111.94874651047218,1.4375620039709163,0.3794016296165875
M23910,baseline,AutoETS,quantile,432,18,320.2758495391568,344.7606144340254,3.222899470350851,2.0839959071714813
M24261,baseline,AutoETS,quantile,206,18,273.1118155020259,325.6600840695265,11.530783903903002,0.8332241966278561
M24808,baseline,AutoETS,quantile,432,18,5.867770930159976,7.710612312790569,0.42413021211572466,0.2861046578901346
M24868,baseline,AutoETS,quantile,432,18,155.4639553662216,189.15651358160056,2.1829425327845304,0.9285696655310728
M24899,baseline,AutoETS,quantile,316,18,275.41432905513494,342.4145370486669,8.114276146120362,0.5694599943996126
M24912,baseline,AutoETS,quantile,414,18,11.718243970603503,14.074843565557916,0.5311512414059816,0.47960471362396045
M27494,baseline,AutoETS,quantile,564,18,264.85344149773675,297.5015091429468,12.50155743564674,3.352959652013639
M27652,baseline,AutoETS,quantile,277,18,111.94450962682195,130.7719097183799,7.846997977527037,2.8134763895208477
M27697,baseline,AutoETS,quantile,97,18,103.27166509103421,155.80714115072544,6.0694656752253815,0.517271156908539
M2848,baseline,AutoETS,quantile,145,18,1175.5329071645963,1364.6070973196797,29.92242872165345,2.4133557976539017
M29440,baseline,AutoETS,quantile,288,18,62.31876232996558,70.86953805822745,6.380572300319898,1.7788787261423622
M29715,baseline,AutoETS,quantile,288,18,70.55473672401867,72.68574679932672,4.824227918440117,1.7036839313936267
M3004,baseline,AutoETS,quantile,181,18,345.87348563958443,437.76025256871486,9.008312323334188,1.1257124520575787
M30109,baseline,AutoETS,quantile,156,18,95.59972596036839,110.27296242642028,2.208780798079753,0.6988000273245203
M30295,baseline,AutoETS,quantile,193,18,25.09909366448615,30.188417129309457,1.668782956450722,0.5642494498734977
M33119,baseline,AutoETS,quantile,64,18,1906.1135058582295,2365.0722346353136,34.03172891476595,0.41934844575197133
M35006,baseline,AutoETS,quantile,133,18,18.36942855570851,22.234031564470378,0.77756413498517,0.29150175150698093
M35143,baseline,AutoETS,quantile,157,18,255.44344369542625,313.85877855476184,7.168899996181848,0.9006195326465105
M35714,baseline,AutoETS,quantile,200,18,377.77777777777777,404.22949859994685,19.738957325955695,0.8830314835536768
M35742,baseline,AutoETS,quantile,200,18,180.49908423121724,223.91616840901958,1.8089127648404466,0.5318781792393236
M36179,baseline,AutoETS,quantile,119,18,1022.062223528393,1180.7839041171537,40.18558524837058,1.7981688896873438
M36501,baseline,AutoETS,quantile,996,18,117.19604703204855,135.2298194053756,3.6764564233780814,1.4165447768030435
M36782,baseline,AutoETS,quantile,491,18,72.44738230361519,94.64591011103727,0.680739608417924,0.21727102807057164
M37838,baseline,AutoETS,quantile,134,18,310.5585933595954,364.8190729362351,8.821411992615442,0.5750474052524874
M38619,baseline,AutoETS,quantile,469,18,43.53218432210835,49.95787003791536,3.5858923576257666,0.5009532525209947
M38699,baseline,AutoETS,quantile,287,18,151.240826095843,187.79118447324603,18.98854938709042,0.5823853876740254
M39454,baseline,AutoETS,quantile,195,18,264.07119360483614,322.4726727850244,12.828679089911729,0.20786227988842768
M39566,baseline,AutoETS,quantile,52,18,114.5072698958674,132.04032073101783,3.8059593767879556,0.9247321467030132
M39921,baseline,AutoETS,quantile,52,18,388.0749242954334,522.5973431681405,8.749726203229761,0.7478727788235483
M40536,baseline,AutoETS,quantile,144,18,498.8912420364941,625.889278091904,14.138423775139069,0.8585425003756938
M41199,baseline,AutoETS,quantile,44,18,15.927509273475486,19.21468034367122,1.5306459289892045,0.2644941861708436
M41614,baseline,AutoETS,quantile,322,18,428.9824082044547,802.7755345923,16.403459494851134,3.192526089171156
M41661,baseline,AutoETS,quantile,154,18,145.96401332677817,174.07240775180475,2.0214006239091074,0.791584119838716
M41906,baseline,AutoETS,quantile,60,18,582.5997033513531,582.5997039549599,39.77688762920286,0.6368335496291149
M41944,baseline,AutoETS,quantile,145,18,66.6295970338056,88.01486946977204,3.2001480790257686,0.43932178861420473
M42470,baseline,AutoETS,quantile,300,18,106.08499933056535,142.3588119961917,1.181609531478257,0.3042772613006954
M42591,baseline,AutoETS,quantile,157,18,366.6115267438299,510.78754919801344,5.667746834574762,1.1864369145248448
M426,baseline,AutoETS,quantile,120,18,1486.413877334877,1673.2323970230314,29.40371554259851,4.176406128106736
M43337,baseline,AutoETS,quantile,116,18,46.64819741887681,53.458115101341484,0.4673834766048142,0.16236320386757658
M43921,baseline,AutoETS,quantile,299,18,82.8805071362501,98.79365680784537,17.02055667433956,0.2549349504110581
